,Linear,Geometric,Tree-Based,NeuralNetwork-Based
CDRSB,0.8738975855325674,0.5040182446255855,0.9019725856664172,0.8371198010333185
MMSE,0.6109913011686755,0.2855390627036938,0.7777930897637096,0.6600886028970406
EcogSPMem,0.3895153541116494,0.35226321723740267,0.13126373737965333,0.6995430947804573
RAVLT_immediate,0.24031145079209668,0.22175954611719104,0.11345254253332614,0.5693453221698349
FAQ,0.018626697874605132,0.1032108868212519,0.34109835272516964,0.582122282300536
ADAS13,0.13080552645781696,0.19054032951056799,0.26887159025526947,0.5561397278449084
ADAS11,0.03649655370750751,0.15180703654503516,0.20387522307325823,0.5720480952745299
APOE4,0.07139501060680412,0.19582377957458477,0.011187585190274806,0.5559403507657418
MH10GAST,0.16619996967340908,0.2063620244217766,0.010713529645588192,0.4792273231210509
EcogPtMem,0.09697401901553532,0.16251951430874573,0.0203471142299003,0.5072532288199891
EcogSPPlan,0.04880470181724362,0.0900061109817524,0.12177978387683343,0.5079596416163972
EcogSPOrgan,0.09232306621399518,0.09250884847775154,0.09475276004639763,0.4412802692209858
EcogSPLang,0.002006759584365269,0.1316369023117096,0.06049493539308484,0.4650813018985596
PTGENDER,0.0,0.17081417842085,0.011031953357337317,0.4633401300606604
MH13ALLE,0.24396657523279075,0.14737332198146702,0.021043143101987252,0.3421340064180476
EcogSPTotal,0.0,0.13845035585215246,0.11929198947006935,0.4026337570677754
MH8MUSCL,0.045630987358027265,0.16061521692384254,0.01134397237249515,0.41258896353986246
MH16SMOK,0.13815705881914883,0.15299705369227878,0.011539522085062637,0.37153613312298384
MH18SURG,0.21092672825721487,0.1385807974409381,0.030221850190865384,0.3039358743815875
MH5RESP,0.1358361596082138,0.1289419346420156,0.010658777056057868,0.36707820642673106
BCINSOMN,0.24176296507150788,0.15865760655244962,0.017482102398040017,0.26236055740187764
MH2NEURL,0.09558523152223221,0.15570929581808218,0.013214569149015188,0.3506497355517964
GDTOTAL,0.08748764926247728,0.12227898016692007,0.054123392749529785,0.3396121683713963
BCURNFRQ,0.14950960291893642,0.13376501822142833,0.014123122909442983,0.2990308539407507
BCMUSCLE,0.12626789731779628,0.13674755743163766,0.01112975272700045,0.30604648724337874
MH3HEAD,0.04170427123685608,0.09955742650648972,0.011440370587201805,0.3662850445019083
EcogSPVisspat,0.0,0.07449551192949476,0.05481989800645419,0.3696025201825982
BCCONSTP,0.1300027790855854,0.1408320124343818,0.018372036569970034,0.2465158455526933
BCDIZZY,0.17997747113241758,0.09521541804734428,0.04877769133726123,0.20321142675660725
MHPSYCH,0.13762117899725593,0.10753768907444028,0.01049351728271789,0.24464700222606042
EcogPtDivatt,0.020743096543694384,0.07825207891440512,0.04355392587917451,0.31560911625980276
AGE,0.06277501466976802,0.09087854750275466,0.018769896045673442,0.2916323257340028
BNTSTIM,0.0,0.05431366461778958,0.01808639103291428,0.34290940615021354
BCHDACHE,0.09369595628319682,0.11978287475621692,0.012163790581627582,0.25572469668578673
RAVLT_learning,0.028841331685396238,0.09249280037187653,0.057474270388142484,0.2756111574216474
MH9ENDO,0.06898743776989737,0.11552955641969004,0.012348782679562902,0.2560242955459445
RAVLT_perc_forgetting,0.0,0.10191719828749375,0.04207012101876505,0.28348766048342516
